"""다스는 MB 것""..이명박, 징역 15년·벌금 130억 선고",[앵커] 뇌물과 횡령 등 혐의로 재판에 넘겨진 이명박 전 대통령이 오늘(5일) 오후 전국에 생중계된 1심 재판에서 징역 15년 중형을 선고받았습니다. 무엇보다 법..
"[현장영상] MB 1심서 징역 15년 선고..""죄질 매우 좋지 않아""","재판부, MB 양형 이유 설명 ""MB, 죄질 매우 좋지 않아"" ""MB, 책무 저버리고 청탁받아 일 처리"" ""삼성으로부터 돈 받아 이건희 사면"" ""의혹만 가득한 사.."
"MB측 변호사 ""판결 결과 실망..접견해 상의 후 항소 결정""","[앵커] 지금 이 전 대통령 측 강훈 변호사가 나왔는데요. 얘기를 잠깐 들어볼까요?MB측 ""판결 결과 실망…접견 통해 상의후 항소 결정"" MB측 ""무죄 부분은 당.."
"'화이트리스트' 1심, 김기춘 징역 1년6월..조윤선 집행유예","[앵커] 지금 다른 법정에서 있었던 '화이트리스트' 사건, 김기춘 전 비서실장이 징역 1년 6월 실형이 나왔네요. '화이트리스트' 김기춘 징역 1년 6월 실형 '.."
'아는 형님' 박주미 출연! 강호동이 증언한 '원조 입간판 스타',강호동이 배우 박주미가 '원조 설현'이라고 증언했다. 6일(토)에 방송되는 JTBC '아는 형님'에 '최강 동안'을 자랑하는 배우 박주미와 최근 한 방송 프로그램..
"""나쁜년""→""미안해""..'제3의 매력' 서강준♥이솜, 키스한 사연은?","'제3의 매력' 서강준과 이솜의 애틋한 키스 스틸이 공개됐다. JTBC 금토드라마 '제3의 매력'(극본 박희권·박은영, 연출 표민수, 제작 이매진아시아, JYP픽.."
"'뭉쳐야 뜬다' 마지막 여행..안정환 ""형제 만들어준 프로그램""",안정환이 마지막 패키지여행서 멤버들에 대한 마음을 고백했다. 7일(일) 밤 9시에 JTBC '패키지로 세계일주-뭉쳐야 뜬다'(이하 '뭉쳐야 뜬다') 시즌 1의 여..
[속보] 이명박 전 대통령에 징역 15년·벌금 130억 선고,"< 이명박 전 대통령 1심 선고 공판 > · 재판부 ""구속 만기 임박…피고인 없이 선고 불가피""· 재판부 ""증거 위법수집 주장, 받아들이지 않는다""· ""'집사' .."
"[현장영상] 재판부 ""다스 실소유자는 MB..비자금 조성도 지시""","< 이명박 전 대통령 1심 선고 공판 > · 이명박 전 대통령 1심 선고 공판 시작· 재판부 ""구속 만기 임박…피고인 없이 선고 불가피""· 재판부 ""증거 위법수집.."
'다스는 누구 것' 핵심 쟁점..'16개 혐의' MB 1심 선고,[앵커] 시청자 여러분 안녕하십니까? 잠시 뒤 2시에 이명박 전 대통령에 대한 1심 선고가 내려집니다. 그래서 오늘(5일) 뉴스현장도 조금 일찍 시작합니다. 재판..
"[영상구성] 2007년 의혹 '무혐의 결론' 이후..MB, 오늘 1심 선고","MB, 2007년 도곡동 땅·BBK 의혹 전면 부인 [이명박 전 대통령 (2007년 8월 한나라당 후보경선) : 도곡동 땅이 어떻다고요? BBK가 어떻다고요? 새.."
"모찌피치 수현-축구 크리에이터 감스트, '랜선라이프'에 뜬다",크리에이터 모찌피치로 활약하는 악동뮤지션 수현과 화제의 축구 크리에이터 감스트가 '랜선라이프'를 찾는다. 제작진은 오는 12일(금) '랜선라이프-크리에이터가 사는..
"[속보] 일본, 제주 국제관함식에 함정 불참 통보",일본 해상 자위대가 오는 10일부터 열리는 제주 국제관함식에 함정을 보내기로 한 계획을 취소하겠다고 우리 측에 통보해온 것으로 알려졌습니다. 정부 핵심 관계자는 ..
"'차트보고' 조세호, 쇼핑템 사용법 술술..일본어 실력 자랑",조세호가 의외의 일본어 실력을 자랑했다. 5일(금) 밤 9시에 방송되는 JTBC2 '차트보고(go)' 2회에서 조세호가 오사카 현지인들이 자주 찾는 맛집과 밤도깨..
"'팀셰프' 솔비, ""태국 사는 친언니가 꼭 출연하라고 권유""",솔비가 '팀셰프'에 출연하게 된 특별한 이유를 공개했다. 6일(토) 저녁 6시 10분에 방송되는 JTBC '팀셰프'에서는 'Out Of Asia'를 주제로 한국과..
